subjectIx,trial_alt,t_d,r_bi
0,SSS,0,1
0,SSS,0.35353804506100256,0
0,SSS,0,0
0,SSS,0.7070760901220053,1
0,SSS,0,0
0,SSS,-0.7070760901220053,0
0,SSS,0.35353804506100256,0
0,SSS,0,0
0,SSS,-0.35353804506100267,0
0,SSS,0.35353804506100256,1
0,SSS,0,1
0,SSS,0.35353804506100256,1
0,SSS,0.7070760901220053,1
0,SSS,-0.7070760901220053,0
0,SSS,-0.7070760901220053,0
0,SSS,0.35353804506100256,0
0,SSS,-0.35353804506100267,0
0,SSS,0,0
0,SSS,-0.35353804506100267,0
0,SSS,-0.35353804506100267,0
0,SSS,0.35353804506100256,0
0,SSS,0,0
0,SSS,0,1
0,SSS,0.7070760901220053,1
0,SSS,0.35353804506100256,1
0,SSS,0.7070760901220053,1
0,SSS,0.7070760901220053,1
0,SSS,-0.35353804506100267,0
0,SSS,-0.7070760901220053,0
0,SSS,-0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,0.35353804506100256,1
0,SSS,0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,0,0
0,SSS,-0.35353804506100267,0
0,SSS,0.7070760901220053,1
0,SSS,-0.7070760901220053,0
0,SSS,-0.35353804506100267,0
0,SSS,-0.35353804506100267,0
0,SSS,0.35353804506100256,1
0,SSS,0.35353804506100256,0
0,SSS,-0.7070760901220053,0
0,SSS,-0.7070760901220053,0
0,SSS,0.35353804506100256,1
0,SSS,-0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,0,0
0,SSS,-0.35353804506100267,0
0,SSS,0.7070760901220053,1
0,SSS,0.35353804506100256,0
0,SSS,0.35353804506100256,1
0,SSS,-0.7070760901220053,0
0,SSS,-0.7070760901220053,0
0,SSS,0,0
0,SSS,0.35353804506100256,1
0,SSS,-0.35353804506100267,0
0,SSS,-0.35353804506100267,0
0,SSS,0,0
0,SSS,-0.7070760901220053,0
0,SSS,-0.7070760901220053,0
0,SSS,0,0
0,SSS,-0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,-0.35353804506100267,0
0,SSS,-0.35353804506100267,0
0,SSS,0,0
0,SSS,-0.7070760901220053,0
0,SSS,-0.35353804506100267,0
0,SSS,-0.7070760901220053,0
0,SSS,-0.35353804506100267,0
0,SSS,0,0
0,SSS,0.35353804506100256,0
0,SSS,0.7070760901220053,1
0,SSS,-0.35353804506100267,1
0,SSS,0.7070760901220053,1
0,SSS,0.35353804506100256,0
0,SSS,0,0
0,SSS,0.35353804506100256,0
0,SSS,-0.35353804506100267,0
0,SSS,-0.35353804506100267,0
0,SSS,0.35353804506100256,1
0,SSS,0,0
0,SSS,0.7070760901220053,1
0,SSS,-0.7070760901220053,0
0,SSS,-0.35353804506100267,0
0,SSS,0.7070760901220053,0
0,SSS,0,0
0,SSS,0.7070760901220053,1
0,SSS,-0.35353804506100267,0
0,SSS,-0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,0,0
0,SSS,0.7070760901220053,1
0,SSS,0.35353804506100256,1
0,SSS,0.35353804506100256,1
0,SSS,-0.7070760901220053,0
0,SSS,0,0
0,SSS,0,0
0,SSS,-0.35353804506100267,0
0,SSS,0,0
0,SSS,-0.7070760901220053,0
0,SSS,0,0
0,SSS,0.35353804506100256,0
0,SSS,-0.35353804506100267,0
0,SSS,0.35353804506100256,0
0,SSS,-0.35353804506100267,0
0,SSS,-0.35353804506100267,0
0,SSS,-0.7070760901220053,1
0,SSS,0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,-0.7070760901220053,0
0,SSS,0.7070760901220053,1
0,SSS,-0.7070760901220053,0
0,SSS,0.35353804506100256,1
0,SSS,0.7070760901220053,1
0,SSS,0.35353804506100256,0
0,SSS,0,1
0,SSS,0.7070760901220053,1
0,SSS,-0.7070760901220053,1
1,SSS,0,1
1,SSS,0.35353804506100256,1
1,SSS,0,0
1,SSS,0.7070760901220053,0
1,SSS,0,0
1,SSS,-0.7070760901220053,0
1,SSS,0.35353804506100256,0
1,SSS,0,0
1,SSS,-0.35353804506100267,0
1,SSS,0.35353804506100256,0
1,SSS,0,0
1,SSS,0.35353804506100256,1
1,SSS,0.7070760901220053,0
1,SSS,-0.7070760901220053,0
1,SSS,-0.7070760901220053,0
1,SSS,0.35353804506100256,1
1,SSS,-0.35353804506100267,0
1,SSS,0,0
1,SSS,-0.35353804506100267,0
1,SSS,-0.35353804506100267,0
1,SSS,0.35353804506100256,1
1,SSS,0,0
1,SSS,0,0
1,SSS,0.7070760901220053,1
1,SSS,0.35353804506100256,0
1,SSS,0.7070760901220053,1
1,SSS,0.7070760901220053,1
1,SSS,-0.35353804506100267,0
1,SSS,-0.7070760901220053,0
1,SSS,-0.7070760901220053,0
1,SSS,0.7070760901220053,1
1,SSS,0.35353804506100256,0
1,SSS,0.7070760901220053,0
1,SSS,0.7070760901220053,1
1,SSS,0,0
